"County","Population"
"Baringo",555561
"Bomet",891835
"Bungoma",1375063
"Busia",743946
"Elgeyo Marakwet",369998
"Embu",516212
"Garissa",623060
"Homa Bay",963794
"Isiolo",143294
"Kajiado",687312
"Kakamega",1660651
"Kenya Average",38610097
"Kericho",590690
"Kiambu",1673785
"Kilifi",1109735
"Kirinyaga",528054
"Kisii",1263559
"Kisumu",968909
"Kitui",1012709
"Kwale",649931
"Laikipia",399227
"Lamu",101539
"Machakos",1098584
"Machakos",1098584
"Makueni",884527
"Mandera",1025756
"Marsabit",291166
"Meru",1591533
"Migori",917170
"Mombasa",939370
"Murang'a",892078
"Nairobi",3138369
"Nakuru",1603325
"Nandi",752965
"Narok",850920
"Nyamira",486975
"Nyandarua",596268
"Nyeri",693558
"Samburu",223947
"Siaya",842304
"Taita Taveta",284657
"Tana River",240075
"Tharaka Nithi",130098
"Trans Nzoia",818757
"Turkana",855399
"Uasin Gishu",894179
"Vihiga",554622
"Wajir",661941
"Wajir",661941
"West Pokot",512690
